	artist	song
426	Kate Smith 	When the Moon Comes Over the Mountain
427	Bing Crosby 	At Your Command
428	Gus Arnheim with Donald Novis 	Sweet and Lovely
429	Guy Lombardo with Carmen Lombardo 	Sweet and Lovely
430	Wayne King 	Goodnight, Sweetheart
431	Guy Lombardo with Carmen Lombardo 	Goodnight, Sweetheart
432	Paul Whiteman�s Orchestra with Mildred Bailey 	All of Me
433	The Mills Brothers 	Tiger Rag
434	Leo Reisman with Francis Maddux 	Paradise
435	Kate Smith with Guy Lombardo�s Orchestra 	River Stay �Way from My Door
436	Bing Crosby with the Mills Brothers 	Dinah
437	Louis Armstrong 	Home (When Shadows Fall)
438	Ruby Newman with Gordon Graham 	My Silent Love
439	Louis Armstrong 	All of Me
440	Boswell Sisters with the Dorsey Brothers 	Was That the Human Thing to Do?
441	Morton Downey 	Auf Wiederseh�n, My Dear
442	Guy Lombardo with Carmen Lombardo 	Too Many Tears
443	Russ Columbo with Leonard Joy�s Orchestra 	Just Friends
444	Bert Lown 	Was That the Human Thing to Do?
445	Fred Waring�s Pennyslvanians 	Soft Lights and Sweet Music
446	Guy Lombardo with Carmen Lombardo 	Paradise
447	Fred Waring�s Pennsylvanians 	Let�s Have Another Cup of Coffee
448	Ted Lewis 	In a Shanty in Old Shanty Town
449	George Olsen 	Lullaby of the Leaves
450	Guy Lombardo with Carmen Lombardo 	How Deep Is the Ocean?
451	Isham Jones with Frank Hazzard 	Just a Little Street Where Old Friends Meet
452	Guy Lombardo with Carmen Lombardo 	We Just Couldn�t Say Goodbye
453	Bing Crosby 	Just an Echo in the Valley
454	George Olsen with Paul Small 	Say It Isn�t So
455	Bing Crosby with Anson Weeks� Orchestra 	Please
456	Rudy Vallee 	Let�s Put Out the Lights and Go to Sleep
457	Bing Crosby with Lennie Hayton�s Orchestra 	Brother, Can You Spare a Dime?
458	Jack Denny with Paul Small 	I�ve Told Every Little Star
459	Rudy Vallee 	Brother, Can You Spare a Dime?
460	Fred Astaire with Leo Reisman�s Orchestra 	Night and Day
461	Jack Denny with Paul Small 	The Song Is You
462	Freddy Martin with Elmer Feldkamp 	April in Paris
463	Bing Crosby with Guy Lombardo�s Orchestra 	You�re Getting to Be a Habit with Me
464	Gene Autry 	Ole Faithful
465	Hal Kemp with Skinnay Ennis 	Shuffle Off to Buffalo
466	Don Bestor & His Orchestra with Dudley Mecum 	42nd Street
467	Leo Reisman with Harold Arlen 	Stormy Weather (Keeps Rainin' All the Time)
468	Paul Whiteman�s Orchestra with Jack Fulton 	Lover
469	Joe Green�s Novelty Orchestra 	In the Valley of the Moon
470	Ethel Waters 	Stormy Weather (Keeps Rainin' All the Time)
471	Bing Crosby with Jimmy Grier�s Orchestra 	Shadow Waltz
472	Glen Gray with Kenny Sargent 	Under a Blanket of Blue
473	Ted Lewis 	Lazy Bones
474	Duke Ellington 	Sophisticated Lady
475	Don Redman with Harlan Lattimore 	Lazy Bones
476	Ray Noble with Al Bowlly 	Love Is the Sweetest Thing
477	Don Bestor & His Orchestra with Florence Case, Frank Sherryl, & Charles Yontz 	Who�s Afraid of the Big Bad Wolf?
478	George Olsen with Joe Morrison 	The Last Round-Up
479	Leo Reisman 	By a Waterfall
480	Guy Lombardo with Carmen Lombardo 	The Last Round-Up
481	Glen Gray with Kenny Sargent 	It�s the Talk of the Town
482	Paul Whiteman�s Orchestra with Bob Lawrence 	If I Love Again
483	Henry King with Joe Study 	Good Night Little Girl of My Dreams
484	Eddy Duchin with Lew Sherwood 	Did You Ever See a Dream Walking?
485	Paul Whiteman�s Orchestra with Bob Lawrence 	Smoke Gets in Your Eyes
486	Ray Noble with Al Bowlly 	The Old Spinning Wheel
487	Eddy Duchin with Lew Sherwood 	Let�s Fall in Love
488	Bing Crosby 	Temptation (Tim-Tay-Shun)
489	Ted Fio Rito with Muzzy Mercellino 	My Little Grass Shack in Kealakekua, Hawaii
490	Paul Whiteman�s Orchestra with Bob Lawrence 	Wagon Wheels
491	Enric Madriguera with Patricia Gillmore 	The Carioca
492	Bing Crosby with Jimmy Grier�s Orchestra 	Little Dutch Mill
493	Ben Pollack with Doris Robbins 	The Beat of My Heart
494	Duke Ellington 	Cocktails for Two
495	Emil Coleman with Jerry Cooper 	Little Man, You�ve Hada  Busy Day
496	Bing Crosby with Nat Finston�s Orchestra 	Love Thy Neighbor
497	Ted Fio Rito with Muzzy Mercellino 	I�ll String Along with You
498	Rudy Vallee 	Lost in a Fog
499	Benny Goodman 	Moonglow
500	Ray Noble with Al Bowlly 	The Very Thought of You
501	Jan Garber with Fritz Heilbron 	All I Do Is Dream of You
502	The Dorsey Brothers Orchestra with Bob Crosby 	What a Diff�rence a Day Makes
504	Leo Reisman with George Bueler 	With My Eyes Wide Open, �Dreaming
505	Bing Crosby with Irving Aaronson�s Orchestra 	Love in Bloom
506	Grace Moore 	One Night of Love
507	Freddy Martin with Elmer Feldkamp 	I Saw Stars
508	Johnny Green with George Bouler 	Two Cigarettes in the Dark
509	Ben Selvin with Howard Phillips 	I Only Have Eyes for You
510	Leo Reisman 	The Continental (You Kiss While We're Dancing)
